Freq,Gain,Phase
100.024,5.902,126.713
104.681,5.727,125.489
109.710,5.548,124.249
114.739,5.377,123.078
120.141,5.203,121.899
125.915,5.026,120.733
131.875,4.855,119.594
138.022,4.688,118.507
144.541,4.521,117.448
151.433,4.355,116.381
158.511,4.197,115.364
165.962,4.041,114.373
173.785,3.889,113.405
181.980,3.739,112.460
190.549,3.595,111.546
199.489,3.454,110.676
208.989,3.315,109.818
218.861,3.182,108.994
229.105,3.054,108.213
239.909,2.929,107.448
251.271,2.808,106.707
263.005,2.693,106.012
275.485,2.579,105.330
288.337,2.472,104.686
301.935,2.367,104.059
316.277,2.266,103.449
331.178,2.169,102.882
346.825,2.076,102.324
363.030,1.987,101.799
380.166,1.901,101.292
398.047,1.819,100.806
416.860,1.740,100.340
436.604,1.664,99.900
457.093,1.591,99.471
478.700,1.521,99.059
501.238,1.454,98.669
524.893,1.390,98.299
549.480,1.329,97.938
575.371,1.271,97.598
602.566,1.214,97.275
630.878,1.161,96.960
660.680,1.109,96.664
691.786,1.060,96.379
724.383,1.013,96.107
758.655,0.968,95.849
794.418,0.925,95.595
831.671,0.884,95.359
870.973,0.844,95.134
911.951,0.807,94.911
954.978,0.771,94.707
1000.054,0.736,94.503
1047.179,0.703,94.325
1096.539,0.672,94.144
1148.134,0.642,93.974
1202.337,0.613,93.802
1258.962,0.586,93.656
1318.194,0.560,93.500
1380.406,0.535,93.351
1445.413,0.511,93.223
1513.585,0.488,93.090
1584.925,0.466,92.968
1659.617,0.445,92.847
1737.848,0.425,92.736
1819.618,0.406,92.628
1905.486,0.388,92.523
1995.265,0.371,92.423
2089.329,0.354,92.326
2187.677,0.338,92.234
2290.867,0.323,92.157
2398.901,0.308,92.068
2511.963,0.295,91.996
2630.241,0.281,91.916
2754.293,0.269,91.853
2884.120,0.257,91.776
3019.907,0.245,91.718
3162.213,0.234,91.659
3311.224,0.224,91.597
3467.314,0.214,91.538
3630.854,0.204,91.486
3801.845,0.195,91.435
3981.031,0.186,91.385
4168.786,0.178,91.331
4365.109,0.170,91.289
4570.931,0.162,91.250
4786.253,0.155,91.206
5011.819,0.148,91.166
5248.003,0.142,91.126
5495.362,0.135,91.083
5754.456,0.129,91.057
6025.657,0.123,91.021
6309.524,0.118,90.989
6606.989,0.113,90.957
6918.237,0.108,90.929
7244.386,0.103,90.896
7585.809,0.098,90.863
7943.250,0.094,90.836
8317.642,0.090,90.808
8709.729,0.086,90.782
9120.069,0.082,90.750
9549.968,0.078,90.727
9999.983,0.075,90.714
