Freq,Gain,Phase
100.024,15.420,126.720
104.681,15.160,125.487
109.710,14.883,124.253
114.739,14.611,123.076
120.141,14.325,121.915
125.915,14.026,120.735
131.875,13.724,119.602
138.022,13.420,118.498
144.541,13.105,117.459
151.433,12.781,116.391
158.511,12.459,115.374
165.962,12.131,114.368
173.785,11.796,113.403
181.980,11.457,112.463
190.549,11.113,111.553
199.489,10.767,110.676
208.989,10.411,109.820
218.861,10.055,109.000
229.105,9.698,108.209
239.909,9.335,107.445
251.271,8.969,106.713
263.005,8.604,106.010
275.485,8.231,105.330
288.337,7.861,104.687
301.935,7.486,104.058
316.277,7.106,103.456
331.178,6.727,102.883
346.825,6.345,102.327
363.030,5.966,101.802
380.166,5.582,101.303
398.047,5.197,100.809
416.860,4.810,100.342
436.604,4.421,99.892
457.093,4.035,99.464
478.700,3.644,99.059
501.238,3.254,98.667
524.893,2.863,98.296
549.480,2.474,97.948
575.371,2.081,97.600
602.566,1.687,97.270
630.878,1.296,96.959
660.680,0.901,96.666
691.786,0.507,96.375
724.383,0.112,96.102
758.655,0.284,95.838
794.418,0.679,95.594
831.671,1.073,95.359
870.973,1.471,95.136
911.951,1.866,94.912
954.978,2.263,94.704
1000.054,-2.660,94.511
1047.179,-3.057,94.324
1096.539,-3.454,94.138
1148.134,-3.851,93.969
1202.337,-4.249,93.805
1258.962,-4.646,93.644
1318.194,-5.043,93.502
1380.406,-5.441,93.361
1445.413,-5.838,93.218
1513.585,-6.236,93.087
1584.925,-6.634,92.970
1659.617,-7.032,92.851
1737.848,-7.430,92.739
1819.618,-7.827,92.628
1905.486,-8.226,92.523
1995.265,-8.624,92.422
2089.329,-9.022,92.321
2187.677,-9.420,92.240
2290.867,-9.818,92.154
2398.901,-10.216,92.077
2511.963,-10.615,91.994
2630.241,-11.012,91.924
2754.293,-11.411,91.845
2884.120,-11.809,91.782
3019.907,-12.206,91.713
3162.213,-12.604,91.654
3311.224,-13.002,91.596
3467.314,-13.400,91.543
3630.854,-13.799,91.481
3801.845,-14.196,91.435
3981.031,-14.594,91.378
4168.786,-14.993,91.333
4365.109,-15.390,91.289
4570.931,-15.788,91.245
4786.253,-16.186,91.202
5011.819,-16.583,91.164
5248.003,-16.981,91.125
5495.362,-17.379,91.081
5754.456,-17.776,91.055
6025.657,-18.174,91.020
6309.524,-18.571,90.985
6606.989,-18.969,90.955
6918.237,-19.366,90.921
7244.386,-19.763,90.892
7585.809,-20.160,90.859
7943.250,-20.557,90.832
8317.642,-20.955,90.810
8709.729,-21.351,90.781
9120.069,-21.748,90.748
9549.968,-22.144,90.723
9999.983,-22.541,90.696
